"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2009-01-01","48","65","56","0","56","Sunny","Sunny"
"2009-01-02","46","58","51","0","68","Sunny","Sunny"
"2009-01-03","45","58","52","0","73","Sunny","undefined"
"2009-01-04","44","58","51","0","39","Sunny","Sunny"
"2009-01-05","41","56","50","0","46","Sunny","Sunny"
"2009-01-06","42","60","53","0","64","Sunny","Sunny"
"2009-01-07","48","66","57","0","65","Sunny","Sunny"
"2009-01-08","49","67","58","0","66","Sunny","Sunny"
"2009-01-09","49","66","59","0","41","Sunny","Sunny"
"2009-01-10","51","67","60","0","31","Sunny","Sunny"
"2009-01-11","55","75","66","0","26","Sunny","Sunny"
"2009-01-12","56","75","68","0","27","Sunny","Sunny"
"2009-01-13","60","75","69","0","33","Sunny","Sunny"
"2009-01-14","58","78","69","0","28","Sunny","Sunny"
"2009-01-15","56","75","67","0","30","Sunny","Sunny"
"2009-01-16","57","73","66","0","32","Sunny","Sunny"
"2009-01-17","56","74","66","0","33","Sunny","Sunny"
"2009-01-18","57","75","68","0","31","Sunny","Sunny"
"2009-01-19","60","75","67","0","32","Overcast","Overcast"
"2009-01-20","61","76","68","0","34","Sunny","Sunny"
"2009-01-21","59","72","65","0","50","Partly cloudy","Partly cloudy"
"2009-01-22","56","64","59","0.1","78","Sunny","undefined"
"2009-01-23","55","60","58","0.1","91","Sunny","undefined"
"2009-01-24","50","57","55","0","89","Overcast","Overcast"
"2009-01-25","49","54","52","0","79","Sunny","Sunny"
"2009-01-26","43","55","50","0","62","Sunny","Sunny"
"2009-01-27","42","59","53","0","38","Sunny","Sunny"
"2009-01-28","48","67","60","0","40","Sunny","Sunny"
"2009-01-29","54","70","63","0","34","Sunny","Sunny"
"2009-01-30","54","73","65","0","36","Sunny","Sunny"
"2009-01-31","53","73","64","0","41","Sunny","Sunny"
"2009-02-01","49","71","61","0","41","Sunny","Sunny"
"2009-02-02","54","73","65","0","33","Sunny","Sunny"
"2009-02-03","56","75","66","0","34","Sunny","Sunny"
"2009-02-04","56","73","64","0","36","Partly cloudy","Partly cloudy"
"2009-02-05","51","58","54","0.3","75","Rain","Rain"
"2009-02-06","51","53","52","0.4","94","Rain","Rain"
"2009-02-07","45","55","51","0.2","87","Overcast","Overcast"
"2009-02-08","44","53","50","0","88","Rain","Rain"
"2009-02-09","42","50","47","0.2","81","Rain","Rain"
"2009-02-10","38","55","48","0","58","Partly cloudy","Partly cloudy"
"2009-02-11","39","54","48","0","75","Overcast","Overcast"
"2009-02-12","43","56","50","0","71","Sunny","Sunny"
"2009-02-13","40","51","46","0.1","83","Rain","Rain"
"2009-02-14","39","52","46","0","77","Sunny","Sunny"
"2009-02-15","40","55","49","0","74","Partly cloudy","Partly cloudy"
"2009-02-16","43","51","49","0.6","90","Rain","Rain"
"2009-02-17","41","52","48","0","87","Rain","Rain"
"2009-02-18","41","59","52","0","72","Sunny","Sunny"
"2009-02-19","48","66","59","0","55","Sunny","Sunny"
"2009-02-20","50","68","60","0","50","Partly cloudy","Partly cloudy"
"2009-02-21","52","67","60","0","54","Partly cloudy","Partly cloudy"
"2009-02-22","55","67","62","0","66","Overcast","Overcast"
"2009-02-23","53","69","61","0","68","Overcast","Overcast"
"2009-02-24","50","64","58","0","75","Partly cloudy","Partly cloudy"
"2009-02-25","46","60","54","0","81","Sunny","Sunny"
"2009-02-26","47","62","55","0","75","Sunny","Sunny"
"2009-02-27","48","64","57","0","66","Sunny","Sunny"
"2009-02-28","54","75","67","0","49","Partly cloudy","Partly cloudy"
"2009-03-01","58","76","68","0","43","Sunny","Sunny"
"2009-03-02","54","70","62","0","63","Partly cloudy","Partly cloudy"
"2009-03-03","47","63","57","0","72","Partly cloudy","Partly cloudy"
"2009-03-04","46","56","52","0","87","Sunny","undefined"
"2009-03-05","44","58","52","0","70","Sunny","Sunny"
"2009-03-06","42","59","52","0","70","Sunny","Sunny"
"2009-03-07","43","61","54","0","66","Sunny","Sunny"
"2009-03-08","46","61","54","0","66","Sunny","Sunny"
"2009-03-09","45","53","51","0","86","Overcast","Overcast"
"2009-03-10","42","61","54","0","60","Sunny","Sunny"
"2009-03-11","42","59","52","0","76","Partly cloudy","Partly cloudy"
"2009-03-12","43","62","55","0","74","Sunny","Sunny"
"2009-03-13","44","66","57","0","65","Sunny","Sunny"
"2009-03-14","45","62","55","0","73","Partly cloudy","Partly cloudy"
"2009-03-15","46","60","54","0","78","Partly cloudy","Partly cloudy"
"2009-03-16","46","67","59","0","66","Sunny","Sunny"
"2009-03-17","51","76","65","0","58","Sunny","Sunny"
"2009-03-18","56","78","68","0","57","Sunny","Sunny"
"2009-03-19","49","73","62","0","62","Partly cloudy","Partly cloudy"
"2009-03-20","47","68","59","0","69","Sunny","Sunny"
