"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2010-01-01","50","53","52","0","93","Sunny","undefined"
"2010-01-02","46","58","53","0","91","Overcast","Overcast"
"2010-01-03","43","55","49","0","72","Partly cloudy","Partly cloudy"
"2010-01-04","42","56","49","0","66","Partly cloudy","Partly cloudy"
"2010-01-05","42","58","50","0","60","Sunny","Sunny"
"2010-01-06","43","59","51","0","71","Partly cloudy","Partly cloudy"
"2010-01-07","44","58","50","0","77","Partly cloudy","Partly cloudy"
"2010-01-08","44","53","49","0","74","Overcast","Overcast"
"2010-01-09","43","54","49","0","75","Overcast","Overcast"
"2010-01-10","43","59","51","0","70","Partly cloudy","Partly cloudy"
"2010-01-11","47","63","53","0","64","Overcast","Overcast"
"2010-01-12","52","57","56","0","93","Overcast","Overcast"
"2010-01-13","47","58","54","0","86","Sunny","Sunny"
"2010-01-14","45","58","52","0","83","Partly cloudy","Partly cloudy"
"2010-01-15","46","58","51","0","73","Partly cloudy","Partly cloudy"
"2010-01-16","45","60","53","0","77","Rain","Rain"
"2010-01-17","50","54","52","0.1","90","Overcast","Overcast"
"2010-01-18","51","53","52","0","88","Rain","Rain"
"2010-01-19","49","55","51","0.4","88","Rain","Rain"
"2010-01-20","48","53","50","0.4","87","Rain","Rain"
"2010-01-21","42","46","44","0.1","92","Rain","Rain"
"2010-01-22","42","47","45","0","88","Partly cloudy","Partly cloudy"
"2010-01-23","44","53","49","0","88","Overcast","Overcast"
"2010-01-24","44","48","46","0","94","Rain","Rain"
"2010-01-25","49","51","50","0.2","93","Rain","Rain"
"2010-01-26","47","52","51","0","92","Overcast","Overcast"
"2010-01-27","43","55","49","0","84","Sunny","Sunny"
"2010-01-28","43","55","50","0","81","Sunny","Sunny"
"2010-01-29","44","55","51","0.1","85","Rain","Rain"
"2010-01-30","43","56","51","0","87","Overcast","Overcast"
"2010-01-31","42","57","50","0","84","Overcast","Overcast"
"2010-02-01","44","59","52","0","79","Partly cloudy","Partly cloudy"
"2010-02-02","42","50","47","0.2","86","Rain","Rain"
"2010-02-03","42","59","52","0","85","Overcast","Overcast"
"2010-02-04","45","54","52","0","90","Sunny","undefined"
"2010-02-05","49","59","54","0","88","Overcast","Overcast"
"2010-02-06","49","55","52","0.2","88","Rain","Rain"
"2010-02-07","46","55","51","0","81","Partly cloudy","Partly cloudy"
"2010-02-08","42","54","50","0","83","Overcast","Overcast"
"2010-02-09","43","53","49","0.1","86","Rain","Rain"
"2010-02-10","41","55","50","0","84","Partly cloudy","Partly cloudy"
"2010-02-11","42","57","51","0","80","Partly cloudy","Partly cloudy"
"2010-02-12","50","57","54","0","93","Overcast","Overcast"
"2010-02-13","45","62","54","0","88","Overcast","Overcast"
"2010-02-14","44","62","54","0","81","Partly cloudy","Partly cloudy"
"2010-02-15","45","64","56","0","82","Overcast","Overcast"
"2010-02-16","47","66","58","0","81","Sunny","Sunny"
"2010-02-17","47","66","58","0","82","Partly cloudy","Partly cloudy"
"2010-02-18","47","64","55","0","82","Overcast","Overcast"
"2010-02-19","46","57","53","0","85","Overcast","Overcast"
"2010-02-20","46","53","51","0","87","Overcast","Overcast"
"2010-02-21","45","51","49","0","89","Rain","Rain"
"2010-02-22","42","57","50","0","76","Overcast","Overcast"
"2010-02-23","45","49","47","0.1","84","Rain","Rain"
"2010-02-24","48","59","54","0.1","90","Rain","Rain"
"2010-02-25","43","60","53","0","83","Partly cloudy","Partly cloudy"
"2010-02-26","48","55","53","0","91","Sunny","undefined"
"2010-02-27","48","56","52","0.1","90","Rain","Rain"
"2010-02-28","43","62","54","0","79","Partly cloudy","Partly cloudy"
"2010-03-01","45","60","54","0","82","Partly cloudy","Partly cloudy"
"2010-03-02","47","55","52","0.2","90","Rain","Rain"
"2010-03-03","44","52","49","0.1","89","Rain","Rain"
"2010-03-04","40","55","49","0","81","Sunny","Sunny"
"2010-03-05","40","55","50","0","77","Overcast","Overcast"
"2010-03-06","45","60","53","0.1","84","Rain","Rain"
"2010-03-07","46","61","54","0","81","Sunny","Sunny"
"2010-03-08","44","52","49","0","72","Overcast","Overcast"
"2010-03-09","40","53","48","0","68","Partly cloudy","Partly cloudy"
"2010-03-10","41","54","48","0","72","Sunny","Sunny"
"2010-03-11","38","59","51","0","72","Sunny","Sunny"
"2010-03-12","45","52","50","0","86","Overcast","Overcast"
"2010-03-13","38","55","49","0","68","Sunny","Sunny"
"2010-03-14","38","62","53","0","67","Sunny","Sunny"
"2010-03-15","43","66","57","0","72","Sunny","Sunny"
"2010-03-16","45","70","59","0","73","Partly cloudy","Partly cloudy"
"2010-03-17","49","70","62","0","74","Sunny","Sunny"
"2010-03-18","45","70","62","0","64","Sunny","Sunny"
"2010-03-19","48","73","63","0","56","Sunny","Sunny"
"2010-03-20","44","67","58","0","64","Overcast","Overcast"
"2010-03-21","40","64","56","0","74","Partly cloudy","Partly cloudy"
"2010-03-22","47","63","57","0","75","Sunny","Sunny"
"2010-03-23","45","68","60","0","64","Sunny","Sunny"
"2010-03-24","42","63","54","0","75","Partly cloudy","Partly cloudy"
"2010-03-25","47","58","54","0","74","Partly cloudy","Partly cloudy"
"2010-03-26","41","62","55","0","69","Sunny","Sunny"
"2010-03-27","42","69","59","0","64","Sunny","Sunny"
"2010-03-28","44","68","60","0","61","Overcast","Overcast"
"2010-03-29","48","57","55","0","90","Sunny","undefined"
