"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2010-01-01","27","40","35","0","93","Sunny","undefined"
"2010-01-02","20","29","26","0","68","Sunny","undefined"
"2010-01-03","21","27","24","0","62","Sunny","undefined"
"2010-01-04","21","30","26","0","68","Sunny","undefined"
"2010-01-05","23","32","28","0","64","Overcast","Overcast"
"2010-01-06","28","35","31","0","70","Sunny","undefined"
"2010-01-07","28","38","32","0","75","Partly cloudy","Partly cloudy"
"2010-01-08","26","32","30","0","81","Sunny","undefined"
"2010-01-09","18","30","25","0","71","Partly cloudy","Partly cloudy"
"2010-01-10","14","28","21","0","72","Sunny","Sunny"
"2010-01-11","18","31","26","0","68","Overcast","Overcast"
"2010-01-12","25","34","30","0","70","Overcast","Overcast"
"2010-01-13","25","35","31","0","73","Overcast","Overcast"
"2010-01-14","28","42","35","0","76","Partly cloudy","Partly cloudy"
"2010-01-15","31","46","39","0","86","Overcast","Overcast"
"2010-01-16","31","47","40","0","91","Overcast","Overcast"
"2010-01-17","34","43","41","0.7","97","Rain","Rain"
"2010-01-18","37","50","44","0","88","Overcast","Overcast"
"2010-01-19","33","50","43","0","90","Overcast","Overcast"
"2010-01-20","31","42","37","0","78","Partly cloudy","Partly cloudy"
"2010-01-21","28","41","35","0","79","Partly cloudy","Partly cloudy"
"2010-01-22","31","41","37","0","72","Sunny","Sunny"
"2010-01-23","28","41","35","0","77","Sunny","Sunny"
"2010-01-24","29","49","42","0","96","Sunny","undefined"
"2010-01-25","47","59","55","0.3","91","Rain","Rain"
"2010-01-26","34","42","40","0","77","Overcast","Overcast"
"2010-01-27","30","39","35","0","64","Partly cloudy","Partly cloudy"
"2010-01-28","23","46","38","0","67","Sunny","undefined"
"2010-01-29","19","25","23","0","38","Partly cloudy","Partly cloudy"
"2010-01-30","17","20","18","0.1","54","Sunny","undefined"
"2010-01-31","14","28","22","0","58","Sunny","Sunny"
"2010-02-01","20","34","28","0","76","Partly cloudy","Partly cloudy"
"2010-02-02","23","35","30","0.1","78","Sunny","undefined"
"2010-02-03","26","36","32","0.1","96","Sunny","undefined"
"2010-02-04","25","37","31","0","86","Partly cloudy","Partly cloudy"
"2010-02-05","29","35","32","0.2","89","Overcast","Overcast"
"2010-02-06","21","29","24","0.7","96","Sunny","undefined"
"2010-02-07","10","30","21","0","94","Overcast","Overcast"
"2010-02-08","13","29","22","0","95","Overcast","Overcast"
"2010-02-09","19","32","28","0.3","97","Sunny","undefined"
"2010-02-10","28","32","31","0.7","98","Sunny","undefined"
"2010-02-11","22","32","28","0","95","Overcast","Overcast"
"2010-02-12","6","32","21","0","96","Sunny","undefined"
"2010-02-13","18","29","26","0","95","Overcast","Overcast"
"2010-02-14","22","33","29","0","95","Overcast","Overcast"
"2010-02-15","17","33","28","0.1","97","Sunny","undefined"
"2010-02-16","25","31","29","0.1","96","Sunny","undefined"
"2010-02-17","23","33","29","0","95","Sunny","undefined"
"2010-02-18","26","36","33","0","97","Overcast","Overcast"
"2010-02-19","29","38","35","0","95","Overcast","Overcast"
"2010-02-20","30","40","35","0","96","Overcast","Overcast"
"2010-02-21","27","40","34","0","96","Overcast","Overcast"
"2010-02-22","18","37","32","0.2","96","Sunny","undefined"
"2010-02-23","34","39","38","0.5","99","Rain","Rain"
"2010-02-24","35","44","39","0","96","Overcast","Overcast"
"2010-02-25","26","34","33","0.2","97","Sunny","undefined"
"2010-02-26","25","32","29","0.2","95","Sunny","undefined"
"2010-02-27","24","35","31","0","97","Sunny","undefined"
"2010-02-28","26","38","33","0","98","Sunny","undefined"
"2010-03-01","30","43","38","0","94","Overcast","Overcast"
"2010-03-02","25","41","36","0","99","Sunny","undefined"
"2010-03-03","34","38","36","0.1","97","Sunny","undefined"
"2010-03-04","34","42","39","0","85","Overcast","Overcast"
"2010-03-05","34","45","40","0","82","Sunny","undefined"
"2010-03-06","30","48","41","0","72","Sunny","Sunny"
"2010-03-07","33","54","45","0","75","Sunny","Sunny"
"2010-03-08","35","57","48","0","75","Sunny","Sunny"
"2010-03-09","39","61","51","0","71","Sunny","Sunny"
"2010-03-10","39","59","50","0","74","Partly cloudy","Partly cloudy"
"2010-03-11","42","56","51","0","88","Sunny","undefined"
"2010-03-12","45","47","46","0.4","93","Rain","Rain"
"2010-03-13","46","50","49","1","94","Rain","Rain"
"2010-03-14","44","50","48","0.2","94","Rain","Rain"
"2010-03-15","39","44","42","0.2","97","Rain","Rain"
"2010-03-16","40","58","51","0","77","Sunny","Sunny"
"2010-03-17","37","63","54","0","75","Overcast","Overcast"
"2010-03-18","41","65","56","0","65","Sunny","Sunny"
"2010-03-19","44","68","59","0","61","Sunny","Sunny"
"2010-03-20","47","69","61","0","67","Partly cloudy","Partly cloudy"
"2010-03-21","47","67","59","0","75","Partly cloudy","Partly cloudy"
"2010-03-22","53","60","56","0.7","93","Rain","Rain"
"2010-03-23","45","54","50","0.1","86","Rain","Rain"
"2010-03-24","45","59","53","0","66","Sunny","Sunny"
"2010-03-25","43","62","57","0","73","Partly cloudy","Partly cloudy"
"2010-03-26","37","45","43","0.2","86","Rain","Rain"
"2010-03-27","30","45","39","0","63","Sunny","Sunny"
"2010-03-28","30","51","46","0.1","91","Rain","Rain"
"2010-03-29","51","52","52","0.7","96","Rain","Rain"
"2010-03-30","38","43","41","0.3","93","Rain","Rain"
"2010-03-31","42","60","54","0.1","85","Overcast","Overcast"
"2010-04-01","44","67","59","0","79","Sunny","Sunny"
"2010-04-02","45","67","59","0","77","Partly cloudy","Partly cloudy"
"2010-04-03","44","63","57","0","79","Sunny","Sunny"
"2010-04-04","49","72","64","0","72","Partly cloudy","Partly cloudy"
"2010-04-05","50","71","65","0","77","Sunny","Sunny"
"2010-04-06","59","81","73","0","73","Partly cloudy","Partly cloudy"
"2010-04-07","65","85","77","0","55","Partly cloudy","Partly cloudy"
