"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2012-01-01","35","49","42","0","89","Overcast","Overcast"
"2012-01-02","32","42","38","0","73","Sunny","undefined"
"2012-01-03","16","28","25","0","48","Sunny","Sunny"
"2012-01-04","11","25","20","0","34","Partly cloudy","Partly cloudy"
"2012-01-05","24","35","30","0","48","Overcast","Overcast"
"2012-01-06","27","44","36","0","69","Overcast","Overcast"
"2012-01-07","22","30","26","0.1","79","Sunny","undefined"
"2012-01-08","29","42","37","0","70","Sunny","Sunny"
"2012-01-09","26","32","29","0","81","Sunny","undefined"
"2012-01-10","31","43","37","0","74","Overcast","Overcast"
"2012-01-11","29","37","33","0","73","Partly cloudy","Partly cloudy"
"2012-01-12","32","40","38","0.4","93","Rain","Rain"
"2012-01-13","29","47","39","0.1","80","Rain","Rain"
"2012-01-14","22","33","29","0","53","Overcast","Overcast"
"2012-01-15","8","14","11","0","47","Sunny","Sunny"
"2012-01-16","10","28","21","0","47","Partly cloudy","Partly cloudy"
"2012-01-17","32","41","37","0.1","92","Rain","Rain"
"2012-01-18","23","35","31","0","68","Sunny","Sunny"
"2012-01-19","17","28","25","0","58","Overcast","Overcast"
"2012-01-20","20","29","26","0","72","Partly cloudy","Partly cloudy"
"2012-01-21","18","23","20","0.1","86","Sunny","undefined"
"2012-01-22","16","28","23","0","82","Sunny","undefined"
"2012-01-23","19","40","36","0.1","96","Sunny","undefined"
"2012-01-24","36","48","43","0","95","Overcast","Overcast"
"2012-01-25","33","40","36","0","77","Partly cloudy","Partly cloudy"
"2012-01-26","31","38","35","0.1","76","Overcast","Overcast"
"2012-01-27","36","44","41","0.4","94","Rain","Rain"
"2012-01-28","32","44","39","0","76","Overcast","Overcast"
"2012-01-29","32","40","36","0","62","Sunny","Sunny"
"2012-01-30","29","37","33","0","55","Partly cloudy","Partly cloudy"
"2012-01-31","29","42","37","0","70","Overcast","Overcast"
"2012-02-01","32","53","46","0","81","Overcast","Overcast"
"2012-02-02","32","40","36","0","81","Overcast","Overcast"
"2012-02-03","24","34","30","0","58","Partly cloudy","Partly cloudy"
"2012-02-04","28","39","34","0","63","Partly cloudy","Partly cloudy"
"2012-02-05","23","32","29","0","48","Sunny","Sunny"
"2012-02-06","29","46","38","0","59","Sunny","Sunny"
"2012-02-07","32","44","39","0","71","Overcast","Overcast"
"2012-02-08","23","35","31","0","37","Overcast","Overcast"
"2012-02-09","31","43","37","0","57","Partly cloudy","Partly cloudy"
"2012-02-10","31","47","40","0","58","Overcast","Overcast"
"2012-02-11","31","35","34","0.1","83","Sunny","undefined"
"2012-02-12","17","26","21","0","42","Sunny","Sunny"
