"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2012-01-01","36","46","40","0","82","Partly cloudy","Partly cloudy"
"2012-01-02","35","51","44","0","83","Rain","Rain"
"2012-01-03","44","53","49","0","88","Partly cloudy","Partly cloudy"
"2012-01-04","44","55","49","0.1","80","Rain","Rain"
"2012-01-05","34","43","40","0.2","95","Rain","Rain"
"2012-01-06","33","42","37","0.1","84","Rain","Rain"
"2012-01-07","36","43","40","0.2","89","Sunny","undefined"
"2012-01-08","33","49","40","0","69","Sunny","Sunny"
"2012-01-09","36","42","39","0.1","92","Sunny","undefined"
"2012-01-10","26","41","35","0","93","Sunny","undefined"
"2012-01-11","29","43","36","0","67","Partly cloudy","Partly cloudy"
"2012-01-12","29","45","36","0","43","Partly cloudy","Partly cloudy"
"2012-01-13","29","47","37","0","43","Partly cloudy","Partly cloudy"
"2012-01-14","30","42","38","0.1","79","Sunny","undefined"
"2012-01-15","26","37","32","0.1","92","Sunny","undefined"
"2012-01-16","24","36","32","0.1","90","Sunny","undefined"
"2012-01-17","33","35","35","0.4","97","Sunny","undefined"
"2012-01-18","33","44","39","0.5","99","Rain","Rain"
"2012-01-19","39","44","42","0.8","97","Rain","Rain"
"2012-01-20","39","45","42","0.1","93","Rain","Rain"
"2012-01-21","35","42","40","0.2","95","Rain","Rain"
"2012-01-22","34","43","39","0.1","93","Rain","Rain"
"2012-01-23","28","42","35","0","85","Overcast","Overcast"
"2012-01-24","34","49","42","0.4","91","Rain","Rain"
"2012-01-25","43","49","47","0.2","96","Rain","Rain"
"2012-01-26","31","44","39","0.1","92","Rain","Rain"
"2012-01-27","29","42","35","0","75","Partly cloudy","Partly cloudy"
"2012-01-28","30","49","40","0","50","Partly cloudy","Partly cloudy"
"2012-01-29","39","44","43","0.3","85","Rain","Rain"
"2012-01-30","40","48","45","0","94","Overcast","Overcast"
"2012-01-31","38","49","45","0","88","Rain","Rain"
"2012-02-01","37","46","44","0.1","91","Rain","Rain"
"2012-02-02","32","49","42","0","81","Sunny","Sunny"
"2012-02-03","34","48","42","0","77","Partly cloudy","Partly cloudy"
"2012-02-04","33","50","42","0","79","Partly cloudy","Partly cloudy"
"2012-02-05","33","52","43","0","78","Partly cloudy","Partly cloudy"
"2012-02-06","33","51","42","0","77","Sunny","Sunny"
"2012-02-07","34","50","43","0","79","Rain","Rain"
"2012-02-08","36","48","43","0","87","Rain","Rain"
"2012-02-09","42","52","46","0.1","87","Rain","Rain"
"2012-02-10","42","49","45","0.1","88","Rain","Rain"
"2012-02-11","35","47","42","0","86","Partly cloudy","Partly cloudy"
"2012-02-12","32","49","41","0","73","Rain","Rain"
"2012-02-13","32","44","39","0","90","Overcast","Overcast"
"2012-02-14","30","43","40","0.1","91","Rain","Rain"
"2012-02-15","27","44","37","0","87","Overcast","Overcast"
"2012-02-16","34","45","40","0","80","Overcast","Overcast"
"2012-02-17","35","50","45","0","90","Sunny","undefined"
"2012-02-18","36","43","40","0.2","96","Rain","Rain"
"2012-02-19","33","44","39","0","86","Sunny","undefined"
"2012-02-20","35","47","43","0.2","93","Rain","Rain"
"2012-02-21","45","53","50","0.1","95","Rain","Rain"
"2012-02-22","40","50","47","0.3","87","Rain","Rain"
"2012-02-23","35","47","42","0","82","Rain","Rain"
"2012-02-24","34","53","45","0.1","77","Rain","Rain"
"2012-02-25","35","41","38","0.2","93","Sunny","undefined"
"2012-02-26","27","41","37","0.1","93","Sunny","undefined"
"2012-02-27","27","45","37","0","74","Partly cloudy","Partly cloudy"
"2012-02-28","30","46","38","0.1","72","Rain","Rain"
"2012-03-01","24","42","35","0.1","96","Rain","Rain"
