"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2013-01-01","24","39","35","0","83","Sunny","undefined"
"2013-01-02","20","30","27","0","76","Overcast","Overcast"
"2013-01-03","23","30","27","0","76","Overcast","Overcast"
"2013-01-04","29","36","33","0","81","Overcast","Overcast"
"2013-01-05","29","40","35","0","79","Overcast","Overcast"
"2013-01-06","31","42","37","0","82","Partly cloudy","Partly cloudy"
"2013-01-07","33","42","38","0","80","Sunny","Sunny"
"2013-01-08","33","45","40","0","84","Partly cloudy","Partly cloudy"
"2013-01-09","34","46","42","0","86","Partly cloudy","Partly cloudy"
"2013-01-10","38","46","41","0","76","Sunny","Sunny"
"2013-01-11","35","43","41","0.1","85","Rain","Rain"
"2013-01-12","41","47","45","0","92","Overcast","Overcast"
"2013-01-13","40","48","45","0","91","Overcast","Overcast"
"2013-01-14","43","55","51","0","85","Overcast","Overcast"
"2013-01-15","36","39","38","0.1","74","Partly cloudy","Partly cloudy"
"2013-01-16","33","36","35","0.4","90","Rain","Rain"
"2013-01-17","36","42","40","0","71","Overcast","Overcast"
"2013-01-18","26","29","27","0","62","Sunny","Sunny"
"2013-01-19","29","46","40","0","73","Partly cloudy","Partly cloudy"
"2013-01-20","32","51","42","0","76","Partly cloudy","Partly cloudy"
"2013-01-21","27","32","30","0","63","Sunny","undefined"
"2013-01-22","15","22","20","0","56","Sunny","undefined"
"2013-01-23","11","18","16","0","56","Partly cloudy","Partly cloudy"
"2013-01-24","13","23","19","0","60","Partly cloudy","Partly cloudy"
"2013-01-25","14","24","19","0","63","Overcast","Overcast"
"2013-01-26","16","26","22","0","66","Partly cloudy","Partly cloudy"
"2013-01-27","19","31","27","0","72","Overcast","Overcast"
"2013-01-28","26","35","32","0.1","84","Sunny","undefined"
"2013-01-29","34","45","41","0","94","Overcast","Overcast"
"2013-01-30","42","55","51","0.1","96","Rain","Rain"
"2013-01-31","30","51","41","0.2","72","Overcast","Overcast"
"2013-02-01","25","31","29","0","52","Sunny","undefined"
"2013-02-02","19","28","25","0","56","Overcast","Overcast"
"2013-02-03","23","30","27","0","76","Sunny","undefined"
"2013-02-04","20","28","25","0","76","Sunny","undefined"
"2013-02-05","26","32","29","0","88","Sunny","undefined"
"2013-02-06","26","37","33","0","79","Sunny","undefined"
"2013-02-07","23","31","28","0","68","Partly cloudy","Partly cloudy"
"2013-02-08","29","37","34","0.5","92","Sunny","undefined"
"2013-02-09","22","32","27","0.1","85","Sunny","undefined"
"2013-02-10","16","32","26","0","73","Sunny","Sunny"
"2013-02-11","32","41","40","0.3","95","Rain","Rain"
"2013-02-12","33","42","39","0","81","Overcast","Overcast"
"2013-02-13","29","40","36","0.1","79","Partly cloudy","Partly cloudy"
"2013-02-14","29","41","36","0","87","Sunny","Sunny"
"2013-02-15","34","48","41","0.1","89","Overcast","Overcast"
"2013-02-16","30","37","34","0.1","85","Sunny","undefined"
"2013-02-17","16","30","26","0","67","Sunny","undefined"
"2013-02-18","16","32","26","0","61","Sunny","Sunny"
"2013-02-19","29","44","39","0","82","Sunny","undefined"
"2013-02-20","25","32","30","0","67","Sunny","undefined"
"2013-02-21","22","33","29","0","64","Partly cloudy","Partly cloudy"
"2013-02-22","25","37","33","0","71","Overcast","Overcast"
"2013-02-23","36","42","39","0.1","95","Rain","Rain"
"2013-02-24","31","45","39","0","83","Overcast","Overcast"
"2013-02-25","31","43","38","0","74","Partly cloudy","Partly cloudy"
"2013-02-26","34","43","40","0.1","80","Overcast","Overcast"
"2013-02-27","38","45","43","0.5","91","Rain","Rain"
"2013-02-28","37","46","43","0","83","Rain","Rain"
"2013-03-01","33","44","40","0","77","Overcast","Overcast"
"2013-03-02","31","40","36","0","68","Overcast","Overcast"
"2013-03-03","29","37","33","0","62","Overcast","Overcast"
"2013-03-04","27","39","35","0","63","Partly cloudy","Partly cloudy"
"2013-03-05","30","44","39","0","70","Sunny","Sunny"
"2013-03-06","35","41","39","0","83","Sunny","undefined"
"2013-03-07","34","38","36","0.1","84","Sunny","undefined"
"2013-03-08","32","38","35","0.2","92","Sunny","undefined"
"2013-03-09","32","50","43","0","81","Sunny","Sunny"
"2013-03-10","32","43","39","0","88","Partly cloudy","Partly cloudy"
"2013-03-11","35","51","46","0","90","Overcast","Overcast"
"2013-03-12","42","50","49","0.6","95","Rain","Rain"
"2013-03-13","36","48","43","0","76","Overcast","Overcast"
"2013-03-14","30","38","35","0","53","Sunny","undefined"
"2013-03-15","29","44","39","0","62","Sunny","undefined"
"2013-03-16","31","37","35","0.1","79","Sunny","undefined"
