"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2017-01-01","42","56","50","0","69","Sunny","Sunny"
"2017-01-02","43","50","47","0","85","Overcast","Overcast"
"2017-01-03","45","54","50","0","80","Overcast","Overcast"
"2017-01-04","47","52","51","0.1","94","Rain","Rain"
"2017-01-05","47","60","56","0.1","85","Sunny","undefined"
"2017-01-06","42","56","51","0","66","Sunny","Sunny"
"2017-01-07","49","55","53","0.1","76","Rain","Rain"
"2017-01-08","53","64","60","0","62","Partly cloudy","Partly cloudy"
"2017-01-09","49","58","54","0.5","89","Rain","Rain"
"2017-01-10","49","54","53","0","93","Overcast","Overcast"
"2017-01-11","49","55","53","0.1","90","Rain","Rain"
"2017-01-12","41","50","48","0.1","87","Rain","Rain"
"2017-01-13","40","54","49","0","72","Sunny","Sunny"
"2017-01-14","45","63","56","0","63","Sunny","Sunny"
"2017-01-15","45","57","52","0","60","Overcast","Overcast"
"2017-01-16","41","58","51","0","78","Sunny","Sunny"
"2017-01-17","42","59","52","0","74","Sunny","Sunny"
"2017-01-18","42","54","49","0.1","85","Rain","Rain"
"2017-01-19","46","56","52","0.2","84","Partly cloudy","Partly cloudy"
"2017-01-20","45","52","49","0.4","89","Rain","Rain"
"2017-01-21","43","54","50","0","78","Overcast","Overcast"
"2017-01-22","47","49","48","0.7","92","Rain","Rain"
"2017-01-23","41","50","46","0.2","76","Rain","Rain"
"2017-01-24","38","50","45","0","69","Overcast","Overcast"
"2017-01-25","38","53","47","0","54","Sunny","Sunny"
"2017-01-26","40","56","50","0","46","Sunny","Sunny"
"2017-01-27","40","57","51","0","55","Sunny","Sunny"
"2017-01-28","43","64","56","0","61","Sunny","Sunny"
"2017-01-29","46","69","60","0","58","Sunny","Sunny"
"2017-01-30","48","68","60","0","57","Sunny","Sunny"
"2017-01-31","47","65","57","0","59","Partly cloudy","Partly cloudy"
"2017-02-01","47","59","54","0","67","Overcast","Overcast"
"2017-02-02","48","54","52","0","86","Overcast","Overcast"
"2017-02-03","49","55","53","0","94","Sunny","undefined"
"2017-02-04","45","61","54","0","82","Sunny","Sunny"
"2017-02-05","45","55","51","0","85","Overcast","Overcast"
"2017-02-06","50","56","53","0.6","95","Rain","Rain"
"2017-02-07","53","57","55","0","97","Sunny","undefined"
"2017-02-08","54","65","60","0","92","Overcast","Overcast"
"2017-02-09","51","65","59","0","85","Partly cloudy","Partly cloudy"
"2017-02-10","53","59","56","0.2","89","Rain","Rain"
"2017-02-11","49","59","54","0.1","77","Sunny","Sunny"
"2017-02-12","48","66","58","0","67","Sunny","Sunny"
"2017-02-13","49","68","60","0","63","Partly cloudy","Partly cloudy"
"2017-02-14","50","64","58","0","67","Sunny","Sunny"
"2017-02-15","49","67","59","0","59","Sunny","Sunny"
"2017-02-16","48","60","55","0.1","78","Rain","Rain"
"2017-02-17","49","52","51","2.2","94","Rain","Rain"
"2017-02-18","47","53","50","0","89","Rain","Rain"
"2017-02-19","45","56","51","0.1","81","Rain","Rain"
"2017-02-20","49","54","52","0.1","91","Overcast","Overcast"
"2017-02-21","48","56","53","0","94","Overcast","Overcast"
"2017-02-22","44","58","51","0","71","Sunny","Sunny"
"2017-02-23","39","53","47","0","54","Sunny","Sunny"
"2017-02-24","39","57","50","0","48","Overcast","Overcast"
"2017-02-25","40","54","48","0","63","Overcast","Overcast"
"2017-02-26","43","52","48","0.1","82","Rain","Rain"
"2017-02-27","44","53","49","0","77","Rain","Rain"
"2017-02-28","41","59","52","0","54","Sunny","Sunny"
"2017-03-01","43","63","56","0","56","Sunny","Sunny"
"2017-03-02","48","68","61","0","56","Overcast","Overcast"
"2017-03-03","49","69","61","0","52","Partly cloudy","Partly cloudy"
"2017-03-04","46","61","54","0","67","Overcast","Overcast"
"2017-03-05","41","53","49","0","75","Overcast","Overcast"
"2017-03-06","39","58","51","0","49","Sunny","Sunny"
"2017-03-07","46","66","59","0","46","Sunny","Sunny"
"2017-03-08","54","73","66","0","46","Sunny","Sunny"
"2017-03-09","56","74","67","0","49","Sunny","Sunny"
"2017-03-10","54","71","65","0","63","Overcast","Overcast"
"2017-03-11","56","75","68","0","45","Sunny","Sunny"
"2017-03-12","57","75","69","0","47","Sunny","Sunny"
"2017-03-13","56","76","68","0","54","Sunny","Sunny"
"2017-03-14","54","73","65","0","53","Partly cloudy","Partly cloudy"
"2017-03-15","54","73","65","0","59","Sunny","Sunny"
"2017-03-16","55","74","67","0","61","Sunny","Sunny"
"2017-03-17","53","69","63","0","74","Overcast","Overcast"
"2017-03-18","49","65","59","0","74","Partly cloudy","Partly cloudy"
"2017-03-19","50","65","57","0","72","Overcast","Overcast"
"2017-03-20","50","60","56","0","83","Overcast","Overcast"
"2017-03-21","52","57","55","0.2","89","Rain","Rain"
"2017-03-22","47","61","56","0","74","Partly cloudy","Partly cloudy"
"2017-03-23","45","64","56","0","59","Sunny","Sunny"
"2017-03-24","45","62","57","0","62","Partly cloudy","Partly cloudy"
"2017-03-25","49","63","58","0","76","Overcast","Overcast"
"2017-03-26","49","65","59","0","66","Partly cloudy","Partly cloudy"
"2017-03-27","50","66","59","0","59","Sunny","Sunny"
"2017-03-28","48","71","63","0","47","Sunny","Sunny"
"2017-03-29","53","75","68","0","45","Sunny","Sunny"
"2017-03-30","52","70","63","0","47","Sunny","Sunny"
"2017-03-31","48","67","59","0","44","Sunny","Sunny"
"2017-04-01","48","70","64","0","50","Sunny","Sunny"
"2017-04-02","50","68","62","0","71","Sunny","Sunny"
"2017-04-03","47","66","59","0","69","Sunny","Sunny"
"2017-04-04","47","64","60","0","67","Sunny","Sunny"
"2017-04-05","52","71","64","0","58","Sunny","Sunny"
"2017-04-06","49","65","60","0","64","Overcast","Overcast"
"2017-04-07","50","61","56","0.3","76","Rain","Rain"
"2017-04-08","47","61","55","0","68","Partly cloudy","Partly cloudy"
"2017-04-09","44","64","58","0","49","Overcast","Overcast"
