"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2018-01-01","31","39","35","0","46","Overcast","Overcast"
"2018-01-02","30","33","31","0","40","Overcast","Overcast"
"2018-01-03","26","43","35","0","40","Sunny","Sunny"
"2018-01-04","34","51","44","0","42","Overcast","Overcast"
"2018-01-05","43","56","49","0","48","Overcast","Overcast"
"2018-01-06","42","61","53","0","67","Partly cloudy","Partly cloudy"
"2018-01-07","50","69","61","0.1","84","Overcast","Overcast"
"2018-01-08","55","63","59","0.1","75","Overcast","Overcast"
"2018-01-09","47","60","53","0","79","Partly cloudy","Partly cloudy"
"2018-01-10","53","60","57","0","86","Overcast","Overcast"
"2018-01-11","43","67","61","0.3","82","Rain","Rain"
"2018-01-12","33","47","40","0","45","Sunny","Sunny"
"2018-01-13","33","50","42","0","44","Sunny","Sunny"
"2018-01-14","36","53","44","0","52","Sunny","Sunny"
"2018-01-15","44","63","56","0","69","Overcast","Overcast"
"2018-01-16","26","35","29","0.2","78","Sunny","undefined"
"2018-01-17","20","35","28","0","59","Sunny","Sunny"
"2018-01-18","29","40","35","0","39","Overcast","Overcast"
"2018-01-19","38","56","47","0.1","70","Rain","Rain"
"2018-01-20","52","67","62","0.1","95","Rain","Rain"
"2018-01-21","60","71","67","0","90","Rain","Rain"
"2018-01-22","54","64","61","0.1","59","Sunny","Sunny"
"2018-01-23","47","61","55","0","39","Partly cloudy","Partly cloudy"
"2018-01-24","45","62","54","0","43","Sunny","Sunny"
"2018-01-25","45","60","53","0","52","Overcast","Overcast"
"2018-01-26","52","63","60","0","84","Overcast","Overcast"
"2018-01-27","59","65","63","0.4","95","Rain","Rain"
"2018-01-28","59","64","62","0","84","Overcast","Overcast"
"2018-01-29","48","63","57","0","52","Sunny","Sunny"
"2018-01-30","43","60","51","0","48","Sunny","Sunny"
"2018-01-31","47","68","59","0","70","Sunny","Sunny"
"2018-02-01","57","73","67","0","81","Rain","Rain"
"2018-02-02","50","55","53","0","57","Overcast","Overcast"
"2018-02-03","48","55","52","0","73","Rain","Rain"
"2018-02-04","55","70","64","0","87","Overcast","Overcast"
"2018-02-05","53","60","57","0","81","Overcast","Overcast"
"2018-02-06","57","71","67","0.1","93","Rain","Rain"
"2018-02-07","44","47","45","0.2","82","Rain","Rain"
"2018-02-08","40","57","49","0","76","Overcast","Overcast"
"2018-02-09","53","70","62","0","84","Rain","Rain"
"2018-02-10","61","68","66","0.3","94","Rain","Rain"
"2018-02-11","39","43","41","0","69","Rain","Rain"
"2018-02-12","37","45","41","0","70","Overcast","Overcast"
"2018-02-13","45","52","49","0.4","85","Rain","Rain"
"2018-02-14","53","72","67","0","95","Sunny","undefined"
"2018-02-15","63","76","71","0","87","Overcast","Overcast"
"2018-02-16","65","78","72","0","89","Rain","Rain"
"2018-02-17","63","76","70","0.1","88","Rain","Rain"
"2018-02-18","60","77","69","0","85","Overcast","Overcast"
"2018-02-19","66","78","73","0","81","Overcast","Overcast"
"2018-02-20","68","78","73","0","86","Rain","Rain"
"2018-02-21","57","72","68","0.5","87","Rain","Rain"
"2018-02-22","56","73","63","0.3","88","Rain","Rain"
"2018-02-23","63","78","72","0","85","Overcast","Overcast"
"2018-02-24","70","78","74","0","86","Rain","Rain"
"2018-02-25","60","66","62","0.6","88","Rain","Rain"
"2018-02-26","58","68","63","0","81","Overcast","Overcast"
"2018-02-27","63","77","71","0","86","Overcast","Overcast"
"2018-02-28","70","80","75","0","84","Overcast","Overcast"
"2018-03-01","65","75","70","0","71","Overcast","Overcast"
"2018-03-02","59","71","66","0","72","Overcast","Overcast"
"2018-03-03","58","72","66","0","73","Overcast","Overcast"
"2018-03-04","65","74","71","0","86","Rain","Rain"
"2018-03-05","68","78","73","0.1","85","Rain","Rain"
"2018-03-06","56","70","63","0.1","46","Partly cloudy","Partly cloudy"
"2018-03-07","50","62","56","0","37","Partly cloudy","Partly cloudy"
"2018-03-08","50","66","58","0","47","Overcast","Overcast"
"2018-03-09","54","69","64","0","66","Overcast","Overcast"
"2018-03-10","65","81","74","0","84","Overcast","Overcast"
"2018-03-11","62","76","71","0.1","80","Rain","Rain"
"2018-03-12","49","64","57","0","53","Sunny","Sunny"
"2018-03-13","50","67","60","0","50","Sunny","Sunny"
"2018-03-14","51","70","62","0","50","Sunny","Sunny"
"2018-03-15","55","71","65","0","71","Overcast","Overcast"
"2018-03-16","66","80","74","0.1","83","Rain","Rain"
"2018-03-17","66","80","74","0","84","Rain","Rain"
"2018-03-18","68","82","76","0","83","Overcast","Overcast"
"2018-03-19","69","81","75","0","60","Overcast","Overcast"
"2018-03-20","54","68","61","0","50","Sunny","Sunny"
"2018-03-21","53","74","65","0","45","Sunny","Sunny"
"2018-03-22","57","74","67","0","58","Sunny","Sunny"
"2018-03-23","62","78","72","0","73","Partly cloudy","Partly cloudy"
"2018-03-24","67","75","72","0","86","Sunny","undefined"
"2018-03-25","67","81","74","0","82","Overcast","Overcast"
"2018-03-26","69","80","75","0","81","Overcast","Overcast"
"2018-03-27","72","78","74","0","81","Overcast","Overcast"
"2018-03-28","70","78","75","0.6","85","Sunny","undefined"
"2018-03-29","62","79","72","1.3","76","Overcast","Overcast"
"2018-03-30","60","76","69","0","62","Sunny","Sunny"
"2018-03-31","61","78","71","0","69","Sunny","Sunny"
"2018-04-01","64","78","73","0","77","Overcast","Overcast"
"2018-04-02","67","82","76","0","80","Overcast","Overcast"
"2018-04-03","71","83","78","0.3","78","Rain","Rain"
"2018-04-04","55","72","65","0","50","Sunny","Sunny"
"2018-04-05","57","73","68","0","66","Rain","Rain"
"2018-04-06","68","80","75","0","84","Rain","Rain"
"2018-04-07","50","70","58","0","80","Rain","Rain"
"2018-04-08","47","63","55","0","72","Overcast","Overcast"
"2018-04-09","56","61","59","0","83","Sunny","undefined"
"2018-04-10","55","76","68","0","59","Overcast","Overcast"
"2018-04-11","56","78","69","0","55","Sunny","Sunny"
"2018-04-12","63","80","74","0","74","Overcast","Overcast"
"2018-04-13","70","79","76","0","85","Rain","Rain"
"2018-04-14","57","64","61","0.5","58","Overcast","Overcast"
"2018-04-15","48","66","59","0","43","Sunny","Sunny"
"2018-04-16","52","77","68","0","46","Sunny","Sunny"
"2018-04-17","61","80","73","0","68","Sunny","Sunny"
"2018-04-18","66","79","73","0","80","Overcast","Overcast"
"2018-04-19","65","77","70","0","44","Overcast","Overcast"
"2018-04-20","55","67","62","0","59","Partly cloudy","Partly cloudy"
"2018-04-21","63","76","71","0.2","83","Rain","Rain"
"2018-04-22","60","70","65","0.1","75","Partly cloudy","Partly cloudy"
"2018-04-23","57","77","70","0","58","Sunny","Sunny"
"2018-04-24","62","85","76","0","61","Sunny","Sunny"
"2018-04-25","65","85","77","0","67","Overcast","Overcast"
"2018-04-26","55","75","67","0","56","Partly cloudy","Partly cloudy"
"2018-04-27","59","78","71","0","55","Sunny","Sunny"
"2018-04-28","63","83","75","0","54","Overcast","Overcast"
"2018-04-29","64","81","74","0","61","Overcast","Overcast"
"2018-04-30","65","77","73","0.3","73","Rain","Rain"
"2018-05-01","69","78","75","0","82","Rain","Rain"
"2018-05-02","73","86","81","0","77","Overcast","Overcast"
"2018-05-03","74","85","80","0","76","Overcast","Overcast"
"2018-05-04","72","80","77","0.3","81","Rain","Rain"
"2018-05-05","67","82","75","0.2","73","Overcast","Overcast"
