"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2018-01-01","1","12","8","0","58","Sunny","Sunny"
"2018-01-02","7","18","14","0","64","Partly cloudy","Partly cloudy"
"2018-01-03","13","28","22","0","63","Overcast","Overcast"
"2018-01-04","24","33","30","0.2","82","Sunny","undefined"
"2018-01-05","6","14","11","0","72","Overcast","Overcast"
"2018-01-06","3","11","7","0","70","Sunny","Sunny"
"2018-01-07","-3","13","8","0","72","Overcast","Overcast"
"2018-01-08","19","35","30","0","74","Overcast","Overcast"
"2018-01-09","26","39","34","0","82","Sunny","Sunny"
"2018-01-10","21","35","30","0","79","Sunny","Sunny"
"2018-01-11","35","51","46","0","93","Overcast","Overcast"
"2018-01-12","47","60","58","0.4","95","Rain","Rain"
"2018-01-13","24","57","41","0.2","78","Overcast","Overcast"
"2018-01-14","16","24","20","0","43","Sunny","Sunny"
"2018-01-15","16","20","19","0","64","Sunny","undefined"
"2018-01-16","17","33","28","0","76","Overcast","Overcast"
"2018-01-17","31","34","33","0.1","94","Sunny","undefined"
"2018-01-18","19","32","26","0","74","Sunny","Sunny"
"2018-01-19","21","33","29","0","74","Sunny","Sunny"
"2018-01-20","33","46","41","0","71","Partly cloudy","Partly cloudy"
"2018-01-21","34","48","40","0","83","Partly cloudy","Partly cloudy"
"2018-01-22","36","38","37","0.1","93","Sunny","undefined"
"2018-01-23","37","54","48","0.5","94","Rain","Rain"
"2018-01-24","27","38","35","0","70","Sunny","Sunny"
"2018-01-25","22","30","26","0","39","Partly cloudy","Partly cloudy"
"2018-01-26","20","32","28","0","31","Sunny","Sunny"
"2018-01-27","29","49","44","0","71","Partly cloudy","Partly cloudy"
"2018-01-28","40","47","45","0","86","Overcast","Overcast"
"2018-01-29","30","38","35","0","79","Sunny","undefined"
"2018-01-30","21","31","26","0.1","77","Sunny","undefined"
"2018-01-31","14","29","24","0","62","Partly cloudy","Partly cloudy"
"2018-02-01","31","43","38","0","74","Overcast","Overcast"
