"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2019-01-01","40","46","45","0.1","75","Rain","Rain"
"2019-01-02","32","38","36","0.1","63","Sunny","undefined"
"2019-01-03","30","37","33","0","78","Partly cloudy","Partly cloudy"
"2019-01-04","30","38","35","0.1","91","Sunny","undefined"
"2019-01-05","37","47","46","0.3","91","Rain","Rain"
"2019-01-06","30","42","39","0.1","95","Overcast","Overcast"
"2019-01-07","31","42","40","0.2","87","Sunny","undefined"
"2019-01-08","40","44","43","0.5","77","Rain","Rain"
"2019-01-09","33","36","35","0.2","78","Sunny","undefined"
"2019-01-10","25","33","31","0","86","Overcast","Overcast"
"2019-01-11","29","40","37","0.1","91","Sunny","undefined"
"2019-01-12","37","43","42","0.1","85","Rain","Rain"
"2019-01-13","43","47","45","0.5","83","Rain","Rain"
"2019-01-14","35","39","38","0.1","68","Sunny","undefined"
"2019-01-15","30","42","38","0.1","82","Rain","Rain"
"2019-01-16","36","44","43","0.1","80","Sunny","undefined"
"2019-01-17","36","42","40","0.5","77","Rain","Rain"
"2019-01-18","29","36","32","0.1","76","Sunny","undefined"
"2019-01-19","29","35","32","0","72","Overcast","Overcast"
"2019-01-20","26","33","30","0","69","Partly cloudy","Partly cloudy"
"2019-01-21","25","31","29","0","68","Partly cloudy","Partly cloudy"
"2019-01-22","26","32","29","0","64","Partly cloudy","Partly cloudy"
"2019-01-23","23","28","25","0","66","Partly cloudy","Partly cloudy"
"2019-01-24","18","26","22","0","78","Partly cloudy","Partly cloudy"
"2019-01-25","19","28","25","0","76","Overcast","Overcast"
"2019-01-26","29","40","39","0.7","93","Rain","Rain"
"2019-01-27","38","43","41","0","87","Rain","Rain"
"2019-01-28","33","39","37","0.1","84","Sunny","undefined"
"2019-01-29","30","37","34","0.1","85","Sunny","undefined"
"2019-01-30","29","35","32","0","76","Overcast","Overcast"
"2019-01-31","29","37","33","0","77","Overcast","Overcast"
"2019-02-01","29","37","34","0","81","Sunny","undefined"
"2019-02-02","30","34","33","0.1","93","Sunny","undefined"
"2019-02-03","30","35","32","0","89","Overcast","Overcast"
"2019-02-04","29","38","35","0","79","Overcast","Overcast"
"2019-02-05","33","38","36","0","82","Overcast","Overcast"
"2019-02-06","31","42","38","0","78","Overcast","Overcast"
"2019-02-07","38","46","42","0.2","82","Rain","Rain"
"2019-02-08","33","43","41","0.7","84","Rain","Rain"
"2019-02-09","40","51","48","0.1","74","Rain","Rain"
"2019-02-10","41","48","45","0.2","81","Rain","Rain"
"2019-02-11","36","43","41","0.2","75","Sunny","undefined"
"2019-02-12","37","42","40","0.1","78","Sunny","undefined"
"2019-02-13","38","45","42","0","87","Sunny","undefined"
"2019-02-14","37","50","44","0","72","Overcast","Overcast"
"2019-02-15","40","57","50","0","58","Sunny","Sunny"
"2019-02-16","42","55","50","0","60","Partly cloudy","Partly cloudy"
"2019-02-17","41","57","50","0","70","Partly cloudy","Partly cloudy"
"2019-02-18","41","57","50","0","70","Partly cloudy","Partly cloudy"
"2019-02-19","43","50","47","0","75","Sunny","undefined"
"2019-02-20","39","48","44","0","76","Overcast","Overcast"
"2019-02-21","42","51","48","0","79","Overcast","Overcast"
"2019-02-22","37","46","43","0.1","83","Rain","Rain"
"2019-02-23","31","46","39","0","53","Partly cloudy","Partly cloudy"
"2019-02-24","37","54","47","0","39","Partly cloudy","Partly cloudy"
"2019-02-25","42","56","50","0","49","Partly cloudy","Partly cloudy"
"2019-02-26","40","55","48","0","60","Partly cloudy","Partly cloudy"
"2019-02-27","43","59","53","0","56","Partly cloudy","Partly cloudy"
"2019-02-28","43","52","48","0","75","Overcast","Overcast"
"2019-03-01","40","48","46","0","83","Rain","Rain"
"2019-03-02","38","46","43","0","74","Sunny","undefined"
"2019-03-03","41","51","49","0.2","80","Rain","Rain"
"2019-03-04","43","54","50","0.1","69","Rain","Rain"
"2019-03-05","41","48","45","0","68","Rain","Rain"
"2019-03-06","38","53","47","0","72","Sunny","undefined"
"2019-03-07","46","53","51","0","65","Sunny","undefined"
"2019-03-08","41","47","46","0","65","Rain","Rain"
"2019-03-09","42","52","49","0.3","69","Rain","Rain"
"2019-03-10","40","44","42","0.7","81","Rain","Rain"
"2019-03-11","34","41","38","0.2","85","Sunny","undefined"
"2019-03-12","33","45","41","0","79","Overcast","Overcast"
"2019-03-13","38","45","43","0.2","74","Rain","Rain"
"2019-03-14","34","44","42","0.4","81","Rain","Rain"
"2019-03-15","38","50","45","0.1","80","Rain","Rain"
"2019-03-16","41","48","45","0.3","79","Rain","Rain"
"2019-03-17","40","48","46","0.1","77","Rain","Rain"
"2019-03-18","38","45","42","0.1","70","Rain","Rain"
"2019-03-19","35","45","41","0","75","Rain","Rain"
"2019-03-20","35","54","47","0","72","Overcast","Overcast"
"2019-03-21","44","60","53","0","79","Overcast","Overcast"
"2019-03-22","45","65","57","0","77","Overcast","Overcast"
"2019-03-23","46","55","52","0","77","Overcast","Overcast"
"2019-03-24","38","52","46","0","66","Partly cloudy","Partly cloudy"
"2019-03-25","38","46","44","0.2","73","Rain","Rain"
"2019-03-26","36","44","41","0.1","87","Rain","Rain"
"2019-03-27","36","51","45","0","84","Overcast","Overcast"
"2019-03-28","44","53","50","0.1","84","Rain","Rain"
"2019-03-29","44","61","54","0","76","Partly cloudy","Partly cloudy"
"2019-03-30","46","62","56","0","69","Partly cloudy","Partly cloudy"
"2019-03-31","41","53","48","0","71","Overcast","Overcast"
"2019-04-01","33","50","43","0","59","Sunny","Sunny"
"2019-04-02","37","60","52","0","65","Partly cloudy","Partly cloudy"
"2019-04-03","48","54","52","0.2","84","Rain","Rain"
"2019-04-04","42","52","47","0","85","Sunny","undefined"
"2019-04-05","44","53","49","0","87","Sunny","undefined"
"2019-04-06","42","67","57","0","75","Overcast","Overcast"
"2019-04-07","47","65","58","0","68","Partly cloudy","Partly cloudy"
"2019-04-08","47","65","59","0","62","Partly cloudy","Partly cloudy"
"2019-04-09","38","53","47","0","69","Partly cloudy","Partly cloudy"
"2019-04-10","34","49","43","0","66","Partly cloudy","Partly cloudy"
"2019-04-11","36","46","42","0","59","Overcast","Overcast"
"2019-04-12","32","41","38","0.1","68","Sunny","undefined"
"2019-04-13","31","45","40","0.1","75","Sunny","undefined"
"2019-04-14","29","42","38","0.1","86","Sunny","undefined"
"2019-04-15","35","55","47","0","74","Overcast","Overcast"
"2019-04-16","35","58","50","0","68","Partly cloudy","Partly cloudy"
"2019-04-17","41","60","53","0","62","Partly cloudy","Partly cloudy"
"2019-04-18","44","66","58","0","65","Partly cloudy","Partly cloudy"
"2019-04-19","47","68","61","0","65","Partly cloudy","Partly cloudy"
"2019-04-20","46","67","59","0","53","Partly cloudy","Partly cloudy"
"2019-04-21","45","68","60","0","63","Sunny","Sunny"
"2019-04-22","47","63","58","0","59","Partly cloudy","Partly cloudy"
"2019-04-23","50","61","57","0","66","Overcast","Overcast"
"2019-04-24","51","73","64","0","68","Rain","Rain"
"2019-04-25","48","71","63","0.1","65","Overcast","Overcast"
"2019-04-26","49","57","54","0.3","80","Rain","Rain"
"2019-04-27","47","62","55","0.3","79","Rain","Rain"
"2019-04-28","41","58","52","0","68","Partly cloudy","Partly cloudy"
"2019-04-29","42","54","51","0.2","84","Rain","Rain"
"2019-04-30","37","64","55","0","74","Overcast","Overcast"
"2019-05-01","47","58","52","0","84","Overcast","Overcast"
"2019-05-02","43","56","51","0","85","Rain","Rain"
"2019-05-03","42","50","47","0.1","72","Rain","Rain"
"2019-05-04","39","50","46","0.1","72","Rain","Rain"
"2019-05-05","30","50","45","0","74","Overcast","Overcast"
"2019-05-06","33","49","45","0.1","79","Rain","Rain"
"2019-05-07","36","53","47","0","70","Overcast","Overcast"
"2019-05-08","40","60","54","0","77","Rain","Rain"
"2019-05-09","47","61","56","0.3","81","Rain","Rain"
"2019-05-10","47","53","51","0.1","85","Rain","Rain"
"2019-05-11","43","48","47","0.5","91","Rain","Rain"
"2019-05-12","37","56","50","0","69","Overcast","Overcast"
"2019-05-13","35","55","50","0","70","Overcast","Overcast"
"2019-05-14","40","56","51","0","70","Overcast","Overcast"
"2019-05-15","35","57","51","0","69","Partly cloudy","Partly cloudy"
"2019-05-16","42","51","47","0.6","90","Rain","Rain"
"2019-05-17","39","64","57","0","84","Overcast","Overcast"
"2019-05-18","48","68","62","0","80","Overcast","Overcast"
"2019-05-19","51","72","66","0","78","Overcast","Overcast"
"2019-05-20","54","71","65","0.6","86","Rain","Rain"
"2019-05-21","55","64","61","0.2","93","Rain","Rain"
"2019-05-22","50","58","54","0.1","88","Rain","Rain"
"2019-05-23","46","66","60","0","74","Partly cloudy","Partly cloudy"
"2019-05-24","51","69","63","0","74","Overcast","Overcast"
"2019-05-25","46","60","55","0","84","Overcast","Overcast"
"2019-05-26","45","67","61","0.1","83","Rain","Rain"
"2019-05-27","55","64","61","0.1","78","Rain","Rain"
"2019-05-28","51","61","57","0.2","81","Rain","Rain"
"2019-05-29","44","64","57","0","69","Partly cloudy","Partly cloudy"
"2019-05-30","45","66","62","0","75","Overcast","Overcast"
"2019-05-31","55","72","66","0","83","Overcast","Overcast"
"2019-06-01","57","73","68","0","80","Overcast","Overcast"
"2019-06-02","59","82","76","0","73","Rain","Rain"
"2019-06-03","65","82","76","0.2","72","Overcast","Overcast"
"2019-06-04","60","76","70","0","83","Rain","Rain"
"2019-06-05","66","85","80","0","66","Partly cloudy","Partly cloudy"
"2019-06-06","58","73","66","0","75","Overcast","Overcast"
"2019-06-07","52","72","66","0.1","72","Partly cloudy","Partly cloudy"
"2019-06-08","54","67","63","0.4","69","Partly cloudy","Partly cloudy"
"2019-06-09","51","71","65","0","66","Overcast","Overcast"
"2019-06-10","56","76","70","0.2","73","Rain","Rain"
"2019-06-11","60","71","67","0.7","82","Rain","Rain"
"2019-06-12","59","69","65","0.9","93","Rain","Rain"
"2019-06-13","53","74","68","0","70","Overcast","Overcast"
"2019-06-14","55","78","72","0","72","Partly cloudy","Partly cloudy"
"2019-06-15","64","73","70","0.3","82","Rain","Rain"
"2019-06-16","56","66","64","0.5","86","Rain","Rain"
"2019-06-17","56","74","70","0","78","Overcast","Overcast"
"2019-06-18","59","77","72","0.1","79","Overcast","Overcast"
"2019-06-19","63","84","78","0","74","Partly cloudy","Partly cloudy"
"2019-06-20","61","71","68","0.2","84","Overcast","Overcast"
"2019-06-21","56","69","65","0","81","Overcast","Overcast"
"2019-06-22","53","71","66","0","79","Overcast","Overcast"
"2019-06-23","57","75","69","0","76","Partly cloudy","Partly cloudy"
"2019-06-24","57","78","72","0","74","Partly cloudy","Partly cloudy"
"2019-06-25","61","84","78","0","75","Overcast","Overcast"
"2019-06-26","71","84","80","0","75","Partly cloudy","Partly cloudy"
"2019-06-27","55","66","62","0","80","Partly cloudy","Partly cloudy"
"2019-06-28","55","73","64","0","73","Overcast","Overcast"
"2019-06-29","55","81","75","0","73","Overcast","Overcast"
"2019-06-30","64","87","80","0","69","Rain","Rain"
"2019-07-01","58","72","68","0","75","Overcast","Overcast"
"2019-07-02","53","65","61","0","75","Rain","Rain"
"2019-07-03","48","65","60","0","75","Rain","Rain"
"2019-07-04","45","67","60","0","75","Overcast","Overcast"
"2019-07-05","56","66","63","0","79","Overcast","Overcast"
"2019-07-06","55","68","64","0.1","84","Overcast","Overcast"
"2019-07-07","49","61","57","0.1","77","Rain","Rain"
"2019-07-08","44","62","58","0.1","77","Rain","Rain"
"2019-07-09","48","60","56","0.1","82","Rain","Rain"
"2019-07-10","45","66","60","0","77","Overcast","Overcast"
"2019-07-11","55","69","63","0.3","78","Rain","Rain"
"2019-07-12","56","71","67","0.5","83","Overcast","Overcast"
"2019-07-13","56","68","64","0.6","89","Rain","Rain"
"2019-07-14","54","63","60","0.1","84","Rain","Rain"
"2019-07-15","52","60","57","0","83","Overcast","Overcast"
"2019-07-16","56","60","59","0","84","Overcast","Overcast"
"2019-07-17","53","69","63","0","80","Overcast","Overcast"
"2019-07-18","55","73","69","0.1","73","Rain","Rain"
"2019-07-19","60","74","69","0.2","78","Rain","Rain"
"2019-07-20","59","79","73","0.3","74","Rain","Rain"
"2019-07-21","62","74","70","0.1","78","Overcast","Overcast"
"2019-07-22","58","72","69","0","77","Partly cloudy","Partly cloudy"
"2019-07-23","61","87","79","0","69","Overcast","Overcast"
"2019-07-24","67","89","81","0","63","Partly cloudy","Partly cloudy"
"2019-07-25","69","91","84","0","57","Partly cloudy","Partly cloudy"
"2019-07-26","67","84","78","0","64","Partly cloudy","Partly cloudy"
"2019-07-27","62","80","75","0","67","Partly cloudy","Partly cloudy"
"2019-07-28","60","80","74","0.3","75","Rain","Rain"
"2019-07-29","64","71","68","0.2","90","Rain","Rain"
"2019-07-30","60","80","73","0","73","Partly cloudy","Partly cloudy"
"2019-07-31","62","74","71","0.5","76","Rain","Rain"
"2019-08-01","59","74","69","0","72","Overcast","Overcast"
"2019-08-02","60","76","70","0.3","70","Rain","Rain"
"2019-08-03","59","73","68","0.5","79","Rain","Rain"
"2019-08-04","56","71","67","0","77","Overcast","Overcast"
"2019-08-05","60","76","71","0.6","75","Rain","Rain"
"2019-08-06","60","74","69","0.1","75","Rain","Rain"
"2019-08-07","60","73","69","0","70","Overcast","Overcast"
"2019-08-08","58","73","68","0.1","72","Overcast","Overcast"
"2019-08-09","58","80","73","0.1","74","Partly cloudy","Partly cloudy"
"2019-08-10","67","75","72","0.2","74","Rain","Rain"
"2019-08-11","60","76","70","0","62","Partly cloudy","Partly cloudy"
"2019-08-12","58","73","67","0","68","Overcast","Overcast"
"2019-08-13","56","67","63","0.2","71","Rain","Rain"
"2019-08-14","53","68","63","0","65","Partly cloudy","Partly cloudy"
"2019-08-15","58","69","64","0.4","70","Rain","Rain"
"2019-08-16","55","70","64","0.1","73","Overcast","Overcast"
"2019-08-17","61","72","67","0","69","Overcast","Overcast"
"2019-08-18","62","71","67","0.2","86","Rain","Rain"
"2019-08-19","59","70","66","0","72","Overcast","Overcast"
"2019-08-20","57","70","66","0","62","Partly cloudy","Partly cloudy"
"2019-08-21","55","70","65","0","63","Partly cloudy","Partly cloudy"
"2019-08-22","56","77","70","0","54","Partly cloudy","Partly cloudy"
"2019-08-23","62","84","77","0","52","Partly cloudy","Partly cloudy"
"2019-08-24","62","81","74","0","60","Partly cloudy","Partly cloudy"
"2019-08-25","64","86","78","0","65","Rain","Rain"
"2019-08-26","69","87","80","0.1","61","Overcast","Overcast"
"2019-08-27","68","87","80","0.2","64","Rain","Rain"
"2019-08-28","70","88","82","0.5","64","Overcast","Overcast"
"2019-08-29","67","80","75","0","69","Overcast","Overcast"
"2019-08-30","64","78","73","0","70","Overcast","Overcast"
"2019-08-31","66","87","80","0","62","Partly cloudy","Partly cloudy"
"2019-09-01","60","71","68","0.1","72","Rain","Rain"
"2019-09-02","53","67","62","0","68","Partly cloudy","Partly cloudy"
"2019-09-03","54","66","62","0","67","Overcast","Overcast"
"2019-09-04","55","69","65","0","75","Overcast","Overcast"
"2019-09-05","51","61","58","0.1","74","Overcast","Overcast"
"2019-09-06","47","65","58","0","66","Partly cloudy","Partly cloudy"
"2019-09-07","54","64","59","0.2","66","Rain","Rain"
"2019-09-08","50","67","61","0.1","73","Overcast","Overcast"
"2019-09-09","48","63","57","0","73","Overcast","Overcast"
"2019-09-10","50","64","58","0","74","Partly cloudy","Partly cloudy"
"2019-09-11","50","68","62","0","67","Overcast","Overcast"
"2019-09-12","58","68","64","0.1","79","Rain","Rain"
"2019-09-13","53","66","63","0.1","81","Rain","Rain"
"2019-09-14","52","67","60","0","67","Partly cloudy","Partly cloudy"
"2019-09-15","51","69","63","0","64","Partly cloudy","Partly cloudy"
"2019-09-16","51","56","55","0.6","90","Rain","Rain"
"2019-09-17","48","57","54","0","72","Rain","Rain"
"2019-09-18","45","56","52","0","72","Rain","Rain"
"2019-09-19","42","56","51","0","71","Overcast","Overcast"
"2019-09-20","44","61","55","0","76","Overcast","Overcast"
"2019-09-21","50","68","61","0","67","Partly cloudy","Partly cloudy"
"2019-09-22","52","72","65","0","62","Partly cloudy","Partly cloudy"
