"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2020-01-01","42","51","47","0","80","Overcast","Overcast"
"2020-01-02","37","50","47","0","88","Overcast","Overcast"
"2020-01-03","43","50","46","0","73","Overcast","Overcast"
"2020-01-04","40","46","43","0","80","Overcast","Overcast"
"2020-01-05","37","47","46","0","78","Overcast","Overcast"
"2020-01-06","30","46","44","0","82","Rain","Rain"
"2020-01-07","34","49","45","0","86","Overcast","Overcast"
"2020-01-08","49","54","51","0.1","87","Overcast","Overcast"
"2020-01-09","47","55","53","0.5","83","Rain","Rain"
"2020-01-10","37","47","45","0.1","75","Overcast","Overcast"
"2020-01-11","40","49","48","0","77","Overcast","Overcast"
"2020-01-12","46","52","51","0","74","Overcast","Overcast"
"2020-01-13","34","48","45","0.2","76","Overcast","Overcast"
"2020-01-14","44","54","50","0.3","76","Sunny","undefined"
"2020-01-15","46","48","47","0.8","72","Rain","Rain"
"2020-01-16","33","51","47","0.1","78","Rain","Rain"
"2020-01-17","27","51","45","0.2","78","Rain","Rain"
"2020-01-18","41","46","43","0","69","Partly cloudy","Partly cloudy"
"2020-01-19","39","48","44","0","71","Partly cloudy","Partly cloudy"
"2020-01-20","38","45","41","0","61","Partly cloudy","Partly cloudy"
"2020-01-21","27","44","40","0","75","Overcast","Overcast"
"2020-01-22","39","47","43","0","93","Overcast","Overcast"
"2020-01-23","40","45","43","0","95","Overcast","Overcast"
"2020-01-24","43","49","45","0","84","Overcast","Overcast"
"2020-01-25","40","49","44","0","86","Partly cloudy","Partly cloudy"
"2020-01-26","36","49","47","0.1","87","Sunny","undefined"
"2020-01-27","43","46","44","0.2","83","Rain","Rain"
"2020-01-28","38","44","41","0.1","67","Sunny","undefined"
"2020-01-29","38","46","42","0","68","Partly cloudy","Partly cloudy"
"2020-01-30","36","52","48","0","93","Overcast","Overcast"
"2020-01-31","41","54","51","0","84","Overcast","Overcast"
"2020-02-01","45","51","49","0.1","73","Sunny","undefined"
"2020-02-02","44","54","50","0.2","81","Rain","Rain"
"2020-02-03","42","49","47","0","65","Overcast","Overcast"
"2020-02-04","41","48","45","0","64","Overcast","Overcast"
"2020-02-05","40","48","44","0","72","Partly cloudy","Partly cloudy"
"2020-02-06","41","53","47","0","76","Partly cloudy","Partly cloudy"
"2020-02-07","33","47","44","0","76","Overcast","Overcast"
"2020-02-08","45","49","47","0","72","Overcast","Overcast"
"2020-02-09","47","56","54","0.4","75","Rain","Rain"
"2020-02-10","41","45","44","0.1","62","Rain","Rain"
"2020-02-11","39","44","41","0","48","Partly cloudy","Partly cloudy"
"2020-02-12","32","46","42","0","61","Overcast","Overcast"
"2020-02-13","43","48","46","0.4","78","Sunny","undefined"
"2020-02-14","40","51","47","0","83","Overcast","Overcast"
"2020-02-15","51","56","54","0.2","82","Sunny","undefined"
"2020-02-16","46","58","53","0.6","71","Rain","Rain"
"2020-02-17","44","49","47","0","57","Overcast","Overcast"
"2020-02-18","40","48","45","0.1","67","Sunny","undefined"
"2020-02-19","29","45","42","0","71","Overcast","Overcast"
"2020-02-20","30","50","45","0.4","71","Rain","Rain"
