"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2020-01-01","14","29","23","0","87","Partly cloudy","Partly cloudy"
"2020-01-02","22","32","30","0","94","Overcast","Overcast"
"2020-01-03","12","18","17","0","92","Sunny","undefined"
"2020-01-04","15","22","19","0","92","Overcast","Overcast"
"2020-01-05","23","33","31","0","79","Overcast","Overcast"
"2020-01-06","20","31","27","0","82","Overcast","Overcast"
"2020-01-07","3","21","14","0","84","Overcast","Overcast"
"2020-01-08","-4","8","2","0","81","Overcast","Overcast"
"2020-01-09","8","32","27","0","86","Sunny","undefined"
"2020-01-10","2","10","7","0","84","Overcast","Overcast"
"2020-01-11","-1","12","5","0","85","Overcast","Overcast"
"2020-01-12","3","15","11","0","88","Overcast","Overcast"
"2020-01-13","13","24","20","0","94","Sunny","undefined"
"2020-01-14","2","31","15","0.1","92","Sunny","undefined"
"2020-01-15","-6","15","10","0.1","91","Sunny","undefined"
"2020-01-16","-15","-2","-9","0","90","Partly cloudy","Partly cloudy"
"2020-01-17","-3","20","14","0.4","90","Sunny","undefined"
"2020-01-18","-7","27","10","0.3","91","Sunny","undefined"
"2020-01-19","-12","-3","-7","0","90","Overcast","Overcast"
"2020-01-20","-7","10","4","0","96","Sunny","undefined"
"2020-01-21","-3","11","5","0","92","Overcast","Overcast"
"2020-01-22","16","34","32","0.1","95","Sunny","undefined"
"2020-01-23","34","35","34","0.1","100","Sunny","undefined"
"2020-01-24","27","33","31","0.1","98","Sunny","undefined"
"2020-01-25","24","31","28","0","97","Sunny","undefined"
"2020-01-26","12","28","21","0","94","Overcast","Overcast"
"2020-01-27","18","32","29","0","97","Sunny","undefined"
"2020-01-28","13","22","17","0","95","Sunny","undefined"
"2020-01-29","15","25","21","0","94","Sunny","undefined"
"2020-01-30","11","24","18","0","95","Sunny","undefined"
"2020-01-31","22","32","28","0.1","97","Sunny","undefined"
"2020-02-01","19","30","25","0","94","Overcast","Overcast"
"2020-02-02","28","38","35","0","86","Overcast","Overcast"
"2020-02-03","18","26","24","0","85","Overcast","Overcast"
"2020-02-04","10","14","12","0","80","Overcast","Overcast"
"2020-02-05","8","20","14","0","80","Overcast","Overcast"
"2020-02-06","15","26","21","0","79","Overcast","Overcast"
"2020-02-07","19","26","22","0","92","Sunny","undefined"
"2020-02-08","3","13","8","0","91","Sunny","undefined"
"2020-02-09","11","20","18","0.2","93","Sunny","undefined"
"2020-02-10","3","24","15","0","91","Partly cloudy","Partly cloudy"
"2020-02-11","10","20","15","0","92","Partly cloudy","Partly cloudy"
"2020-02-12","10","30","24","0.1","88","Sunny","undefined"
"2020-02-13","-15","-6","-11","0","90","Overcast","Overcast"
"2020-02-14","-12","13","2","0","84","Partly cloudy","Partly cloudy"
"2020-02-15","14","28","26","0","88","Overcast","Overcast"
"2020-02-16","5","15","10","0","87","Overcast","Overcast"
"2020-02-17","15","28","26","0.3","95","Sunny","undefined"
"2020-02-18","6","13","10","0","89","Overcast","Overcast"
