"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2020-01-01","34","38","36","0","61","Partly cloudy","Partly cloudy"
"2020-01-02","33","43","39","0","62","Overcast","Overcast"
"2020-01-03","38","45","43","0.5","93","Rain","Rain"
"2020-01-04","35","47","46","0.4","97","Rain","Rain"
"2020-01-05","34","39","37","0","64","Overcast","Overcast"
"2020-01-06","33","42","39","0","64","Partly cloudy","Partly cloudy"
"2020-01-07","33","39","36","0","59","Sunny","undefined"
"2020-01-08","26","37","34","0","61","Sunny","undefined"
"2020-01-09","24","31","27","0","42","Overcast","Overcast"
"2020-01-10","28","45","41","0","72","Overcast","Overcast"
"2020-01-11","45","54","51","0","89","Overcast","Overcast"
"2020-01-12","47","57","56","0.2","75","Rain","Rain"
"2020-01-13","33","40","37","0","73","Overcast","Overcast"
"2020-01-14","29","43","40","0","84","Overcast","Overcast"
"2020-01-15","37","46","43","0","78","Partly cloudy","Partly cloudy"
"2020-01-16","31","44","42","0.1","65","Sunny","undefined"
"2020-01-17","19","24","22","0","41","Partly cloudy","Partly cloudy"
"2020-01-18","20","30","25","0.3","54","Sunny","undefined"
"2020-01-19","22","39","37","0.1","79","Sunny","undefined"
"2020-01-20","19","28","23","0","57","Partly cloudy","Partly cloudy"
"2020-01-21","21","30","26","0","53","Partly cloudy","Partly cloudy"
"2020-01-22","24","36","30","0","60","Partly cloudy","Partly cloudy"
"2020-01-23","31","37","34","0","59","Overcast","Overcast"
"2020-01-24","33","40","36","0","67","Overcast","Overcast"
"2020-01-25","33","43","39","1.8","93","Rain","Rain"
"2020-01-26","34","42","40","0.1","80","Overcast","Overcast"
"2020-01-27","34","42","38","0","73","Overcast","Overcast"
"2020-01-28","32","38","35","0","68","Partly cloudy","Partly cloudy"
"2020-01-29","28","38","33","0","56","Sunny","Sunny"
"2020-01-30","27","33","30","0","57","Overcast","Overcast"
"2020-01-31","22","38","35","0","57","Overcast","Overcast"
"2020-02-01","35","42","38","0","84","Overcast","Overcast"
"2020-02-02","34","41","38","0","80","Overcast","Overcast"
"2020-02-03","37","47","43","0","74","Partly cloudy","Partly cloudy"
"2020-02-04","39","45","42","0.1","89","Rain","Rain"
"2020-02-05","37","39","38","0.1","66","Sunny","undefined"
"2020-02-06","35","49","42","1","91","Rain","Rain"
"2020-02-07","33","49","47","0.5","87","Rain","Rain"
"2020-02-08","24","32","28","0","48","Overcast","Overcast"
"2020-02-09","26","39","33","0","67","Sunny","undefined"
"2020-02-10","33","42","41","0.4","86","Rain","Rain"
"2020-02-11","41","44","43","1.3","97","Rain","Rain"
"2020-02-12","31","38","36","0","63","Overcast","Overcast"
"2020-02-13","35","49","43","1.7","89","Rain","Rain"
"2020-02-14","19","31","26","0","58","Partly cloudy","Partly cloudy"
"2020-02-15","14","27","22","0","49","Overcast","Overcast"
"2020-02-16","17","40","37","0","63","Partly cloudy","Partly cloudy"
"2020-02-17","32","41","37","0","67","Overcast","Overcast"
"2020-02-18","32","43","39","0.2","84","Rain","Rain"
"2020-02-19","29","41","38","0.3","66","Sunny","undefined"
"2020-02-20","27","31","29","0","46","Overcast","Overcast"
"2020-02-21","20","33","27","0","38","Partly cloudy","Partly cloudy"
"2020-02-22","31","41","36","0","44","Partly cloudy","Partly cloudy"
"2020-02-23","33","45","40","0","56","Partly cloudy","Partly cloudy"
"2020-02-24","36","47","42","0","69","Overcast","Overcast"
"2020-02-25","32","44","42","0.3","90","Rain","Rain"
"2020-02-26","33","46","44","0.9","99","Rain","Rain"
"2020-02-27","36","40","39","0.1","67","Sunny","undefined"
"2020-02-28","30","35","33","0","48","Sunny","undefined"
"2020-03-01","24","37","30","0","46","Partly cloudy","Partly cloudy"
"2020-03-02","31","45","40","0","68","Sunny","undefined"
"2020-03-03","38","50","47","0","87","Overcast","Overcast"
"2020-03-04","41","47","44","0.1","62","Overcast","Overcast"
"2020-03-05","35","45","41","0.1","61","Overcast","Overcast"
"2020-03-06","38","43","41","0.1","76","Rain","Rain"
"2020-03-07","34","42","37","0","53","Overcast","Overcast"
"2020-03-08","33","49","42","0","48","Overcast","Overcast"
"2020-03-09","43","56","50","0","58","Overcast","Overcast"
"2020-03-10","46","52","50","0.1","73","Sunny","undefined"
"2020-03-11","40","48","44","0.2","55","Overcast","Overcast"
"2020-03-12","39","44","42","0","77","Partly cloudy","Partly cloudy"
"2020-03-13","41","54","49","0.5","80","Rain","Rain"
"2020-03-14","40","49","45","0","51","Partly cloudy","Partly cloudy"
"2020-03-15","36","47","41","0","46","Overcast","Overcast"
"2020-03-16","30","38","35","0","54","Overcast","Overcast"
"2020-03-17","32","47","44","0.1","86","Rain","Rain"
"2020-03-18","37","48","43","0","62","Overcast","Overcast"
"2020-03-19","40","46","42","1.2","85","Rain","Rain"
"2020-03-20","44","60","54","0.4","94","Rain","Rain"
"2020-03-21","36","46","42","0","54","Partly cloudy","Partly cloudy"
"2020-03-22","30","39","35","0","42","Partly cloudy","Partly cloudy"
"2020-03-23","34","40","38","0.4","78","Sunny","undefined"
"2020-03-24","31","51","47","0.9","83","Overcast","Overcast"
"2020-03-25","38","42","40","0.1","84","Rain","Rain"
"2020-03-26","34","44","41","0","71","Partly cloudy","Partly cloudy"
"2020-03-27","43","50","46","0.4","88","Rain","Rain"
"2020-03-28","36","46","44","0.3","73","Rain","Rain"
"2020-03-29","33","47","45","0.6","96","Rain","Rain"
"2020-03-30","38","55","52","0.1","79","Rain","Rain"
"2020-03-31","40","45","43","0.1","75","Sunny","undefined"
"2020-04-01","34","48","42","0","66","Overcast","Overcast"
"2020-04-02","38","50","45","0","68","Rain","Rain"
"2020-04-03","40","48","47","0.1","80","Sunny","undefined"
"2020-04-04","44","49","47","0","74","Overcast","Overcast"
"2020-04-05","42","51","47","0","80","Overcast","Overcast"
"2020-04-06","42","56","52","0","59","Overcast","Overcast"
"2020-04-07","46","50","49","0","53","Overcast","Overcast"
"2020-04-08","47","50","49","0.5","86","Rain","Rain"
"2020-04-09","44","50","47","0.9","81","Sunny","undefined"
"2020-04-10","40","47","44","0","56","Partly cloudy","Partly cloudy"
"2020-04-11","38","49","45","0","52","Partly cloudy","Partly cloudy"
"2020-04-12","42","57","52","0","60","Overcast","Overcast"
"2020-04-13","53","58","55","1.6","83","Rain","Rain"
"2020-04-14","43","51","47","0","52","Partly cloudy","Partly cloudy"
"2020-04-15","42","48","45","0","54","Overcast","Overcast"
"2020-04-16","37","46","42","0","51","Sunny","undefined"
"2020-04-17","37","46","42","0.2","58","Sunny","undefined"
"2020-04-18","42","46","45","0.4","86","Rain","Rain"
"2020-04-19","30","56","50","0","60","Overcast","Overcast"
"2020-04-20","47","51","49","0","64","Overcast","Overcast"
"2020-04-21","42","51","48","0.6","77","Sunny","undefined"
"2020-04-22","35","47","42","0","47","Partly cloudy","Partly cloudy"
"2020-04-23","37","45","42","0.2","57","Rain","Rain"
"2020-04-24","43","48","47","0.9","92","Rain","Rain"
"2020-04-25","38","54","49","0","70","Partly cloudy","Partly cloudy"
"2020-04-26","44","47","46","1.6","84","Rain","Rain"
"2020-04-27","34","49","47","0.7","84","Rain","Rain"
"2020-04-28","42","56","50","0","67","Partly cloudy","Partly cloudy"
"2020-04-29","44","49","47","0","79","Rain","Rain"
"2020-04-30","45","55","51","0.3","90","Rain","Rain"
"2020-05-01","45","61","57","1","89","Rain","Rain"
"2020-05-02","50","62","57","0","60","Partly cloudy","Partly cloudy"
"2020-05-03","55","68","62","0","67","Sunny","undefined"
"2020-05-04","49","56","54","0","59","Overcast","Overcast"
"2020-05-05","42","56","50","0","49","Partly cloudy","Partly cloudy"
"2020-05-06","44","51","48","0","63","Sunny","undefined"
"2020-05-07","41","59","52","0.1","66","Overcast","Overcast"
"2020-05-08","44","53","49","0.6","65","Rain","Rain"
"2020-05-09","37","45","42","1.8","68","Rain","Rain"
"2020-05-10","40","57","51","0","52","Overcast","Overcast"
"2020-05-11","49","57","55","0.1","65","Rain","Rain"
"2020-05-12","40","53","48","0","53","Partly cloudy","Partly cloudy"
"2020-05-13","41","55","50","0","48","Partly cloudy","Partly cloudy"
"2020-05-14","45","58","53","0","51","Overcast","Overcast"
"2020-05-15","53","72","64","1","81","Rain","Rain"
"2020-05-16","61","70","66","0.3","74","Overcast","Overcast"
"2020-05-17","48","55","52","0","77","Overcast","Overcast"
"2020-05-18","52","59","57","0","75","Overcast","Overcast"
"2020-05-19","51","61","57","0","57","Overcast","Overcast"
"2020-05-20","47","56","53","0","62","Overcast","Overcast"
"2020-05-21","46","58","54","0","64","Partly cloudy","Partly cloudy"
"2020-05-22","51","66","61","0","77","Overcast","Overcast"
"2020-05-23","54","59","58","1.6","94","Rain","Rain"
"2020-05-24","48","58","54","0","78","Overcast","Overcast"
"2020-05-25","51","62","58","0","83","Overcast","Overcast"
